#param N:= 5;
param M:= 1993;
set features:= intercept	population	householdsize	racepctblack	racePctWhite	racePctAsian	racePctHisp	agePct12t21	agePct12t29	agePct16t24	agePct65up	numbUrban	pctUrban	medIncome	pctWWage	pctWFarmSelf	pctWInvInc	pctWSocSec	pctWPubAsst	pctWRetire	medFamInc	perCapInc	whitePerCap	blackPerCap	indianPerCap	AsianPerCap	OtherPerCap	HispPerCap	NumUnderPov	PctPopUnderPov	PctLess9thGrade	PctNotHSGrad	PctBSorMore	PctUnemployed	PctEmploy	PctEmplManu	PctEmplProfServ	PctOccupManu	PctOccupMgmtProf	MalePctDivorce	MalePctNevMarr	FemalePctDiv	TotalPctDiv	PersPerFam	PctFam2Par	PctKids2Par	PctYoungKids2Par	PctTeen2Par	PctWorkMomYoungKids	PctWorkMom	NumIlleg	PctIlleg	NumImmig	PctImmigRecent	PctImmigRec5	PctImmigRec8	PctImmigRec10	PctRecentImmig	PctRecImmig5	PctRecImmig8	PctRecImmig10	PctSpeakEnglOnly	PctNotSpeakEnglWell	PctLargHouseFam	PctLargHouseOccup	PersPerOccupHous	PersPerOwnOccHous	PersPerRentOccHous	PctPersOwnOccup	PctPersDenseHous	PctHousLess3BR	MedNumBR	HousVacant	PctHousOccup	PctHousOwnOcc	PctVacantBoarded	PctVacMore6Mos	MedYrHousBuilt	PctHousNoPhone	PctWOFullPlumb	OwnOccLowQuart	OwnOccMedVal	OwnOccHiQuart	RentLowQ	RentMedian	RentHighQ	MedRent	MedRentPctHousInc	MedOwnCostPctInc	MedOwnCostPctIncNoMtg	NumInShelters	NumStreet	PctForeignBorn	PctBornSameState	PctSameHouse85	PctSameCity85	PctSameState85	LandArea	PopDens	PctUsePubTrans	LemasPctOfficDrugUn;
set features0:= population	householdsize	racepctblack	racePctWhite	racePctAsian	racePctHisp	agePct12t21	agePct12t29	agePct16t24	agePct65up	numbUrban	pctUrban	medIncome	pctWWage	pctWFarmSelf	pctWInvInc	pctWSocSec	pctWPubAsst	pctWRetire	medFamInc	perCapInc	whitePerCap	blackPerCap	indianPerCap	AsianPerCap	OtherPerCap	HispPerCap	NumUnderPov	PctPopUnderPov	PctLess9thGrade	PctNotHSGrad	PctBSorMore	PctUnemployed	PctEmploy	PctEmplManu	PctEmplProfServ	PctOccupManu	PctOccupMgmtProf	MalePctDivorce	MalePctNevMarr	FemalePctDiv	TotalPctDiv	PersPerFam	PctFam2Par	PctKids2Par	PctYoungKids2Par	PctTeen2Par	PctWorkMomYoungKids	PctWorkMom	NumIlleg	PctIlleg	NumImmig	PctImmigRecent	PctImmigRec5	PctImmigRec8	PctImmigRec10	PctRecentImmig	PctRecImmig5	PctRecImmig8	PctRecImmig10	PctSpeakEnglOnly	PctNotSpeakEnglWell	PctLargHouseFam	PctLargHouseOccup	PersPerOccupHous	PersPerOwnOccHous	PersPerRentOccHous	PctPersOwnOccup	PctPersDenseHous	PctHousLess3BR	MedNumBR	HousVacant	PctHousOccup	PctHousOwnOcc	PctVacantBoarded	PctVacMore6Mos	MedYrHousBuilt	PctHousNoPhone	PctWOFullPlumb	OwnOccLowQuart	OwnOccMedVal	OwnOccHiQuart	RentLowQ	RentMedian	RentHighQ	MedRent	MedRentPctHousInc	MedOwnCostPctInc	MedOwnCostPctIncNoMtg	NumInShelters	NumStreet	PctForeignBorn	PctBornSameState	PctSameHouse85	PctSameCity85	PctSameState85	LandArea	PopDens	PctUsePubTrans	LemasPctOfficDrugUn;
set group1:= racePctWhite	 racePctAsian	racePctHisp;
set group2:= agePct12t29	 agePct16t24	 agePct65up;
set group3:= blackPerCap	indianPerCap	AsianPerCap	OtherPerCap	HispPerCap;


param y:=
1	0.2
2	0.67
3	0.43
4	0.12
5	0.03
6	0.14
7	0.03
8	0.55
9	0.53
10	0.15
11	0.24
12	0.08
13	0.06
14	0.09
15	0.21
16	0.3
17	0.49
18	0.07
19	0.15
20	0.03
21	0.34
22	0.69
23	0.21
24	0.63
25	0.31
26	0.12
27	0.84
28	0.1
29	0.49
30	0.02
31	0.16
32	0.19
33	0.15
34	0.31
35	0.08
36	0.24
37	0.11
38	0.22
39	0.13
40	0.07
41	0.11
42	0.06
43	0.8
44	0.22
45	0.17
46	0.16
47	0.2
48	0.12
49	0.11
50	0.12
51	0.2
52	0.68
53	0.23
54	0.05
55	0.1
56	0.28
57	0.22
58	0.22
59	0.55
60	0.05
61	0.03
62	0.07
63	0.07
64	0.57
65	0.37
66	0.14
67	0.61
68	0.03
69	0.5
70	0.05
71	0.04
72	0.21
73	0.05
74	0.02
75	0.14
76	0.18
77	0.12
78	0.68
79	0.7
80	0.75
81	0.3
82	0.24
83	1
84	0
85	0.03
86	0.06
87	0.08
88	0.1
89	0.27
90	0.15
91	0.63
92	0.05
93	0.03
94	0.12
95	0.4
96	0.37
97	0.45
98	0.04
99	0.09
100	0.09
101	0.39
102	0.02
103	0.34
104	0.28
105	0.08
106	0.44
107	0.24
108	0.09
109	0.26
110	0.4
111	0.56
112	0.05
113	0.06
114	0.2
115	0.51
116	0.04
117	0.86
118	0.05
119	0.06
120	0.68
121	0.22
122	0.05
123	0.03
124	0.09
125	0.17
126	0.17
127	0.17
128	0.14
129	0.62
130	0.03
131	0.15
132	0.13
133	0.27
134	0.08
135	0.06
136	0.09
137	0.16
138	0.38
139	0.02
140	0.08
141	0.09
142	0.3
143	0.05
144	0.17
145	0.53
146	1
147	0.05
148	0.63
149	1
150	0.21
151	0.86
152	0.03
153	0.26
154	0.87
155	0.44
156	0.03
157	0.73
158	0.48
159	0.06
160	0.07
161	0.03
162	0.17
163	0.11
164	0.05
165	0.25
166	0.05
167	0.15
168	0.46
169	0.45
170	0.23
171	0.08
172	0.08
173	0.2
174	0.73
175	0.17
176	0.07
177	0.83
178	0.1
179	0.25
180	0.12
181	0.25
182	0.3
183	0.02
184	0.19
185	0.36
186	0.12
187	0.01
188	0.06
189	0.1
190	0.1
191	0.21
192	0.1
193	0.07
194	0.02
195	0.03
196	0.01
197	0.41
198	0.26
199	0.42
200	0.18
201	0.13
202	0.29
203	0.68
204	0.05
205	0.16
206	0.26
207	0.19
208	0.03
209	0.15
210	0.29
211	0.01
212	0.66
213	0.05
214	0.27
215	0.49
216	0.08
217	0.04
218	0.16
219	0.06
220	0.04
221	0.31
222	0.36
223	0.05
224	0.16
225	0.1
226	0.74
227	0.19
228	0.63
229	0.42
230	0.04
231	0.06
232	0.2
233	0.88
234	0.12
235	0.11
236	0.27
237	0.02
238	0.37
239	0.18
240	0.04
241	0.12
242	0.32
243	0.54
244	0.18
245	0.25
246	0.7
247	0.22
248	1
249	0.03
250	0.74
251	0.63
252	0.05
253	0.09
254	0.04
255	0.93
256	0.19
257	0.06
258	0.03
259	0.1
260	0.53
261	0.59
262	0.67
263	0.01
264	0.05
265	0.14
266	0.35
267	0.17
268	0.05
269	0.69
270	0.11
271	0.24
272	0.35
273	0.27
274	0.13
275	0.36
276	0.34
277	0.08
278	0.05
279	0.03
280	0.03
281	0.12
282	0.06
283	0.32
284	0.19
285	0.14
286	0.51
287	0.01
288	0.59
289	0.09
290	0.1
291	0.09
292	0.03
293	0.28
294	0.1
295	0.12
296	0.67
297	0.02
298	0.29
299	0.36
300	0.11
301	0.03
302	0.35
303	0.25
304	0.06
305	0.45
306	0.23
307	0.32
308	0.04
309	0.02
